"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
1758,1758,1744,1737,1700,1549,0.00803,"East","Soap Lake","WA","Washington","53025","Grant County",1144,"washington/soap-lake",1.537,-119.485,47.3911,"City",336
1755,1755,1740,1725,1249,1544,0.00862,"Southwest","Duluth","WA","Washington","53011","Clark County",294,"washington/duluth",5.972,-122.647,45.7838,"CDP",337
1744,1744,1718,1692,1649,1377,0.01513,"West","Home","WA","Washington","53053","Pierce County",276,"washington/home",6.323,-122.79,47.2747,"CDP",338
1721,1721,1613,1467,1289,1007,0.06696,"Central","Rock Island","WA","Washington","53017","Douglas County",1527,"washington/rock-island",1.127,-120.142,47.3732,"City",339
1721,1721,1638,1555,1387,1185,0.05067,"South","Tieton","WA","Washington","53077","Yakima County",1992,"washington/tieton",0.864,-120.756,46.7026,"City",340
1718,1718,1670,1621,1571,1037,0.02874,"West","Anderson Island","WA","Washington","53053","Pierce County",216,"washington/anderson-island",7.952,-122.682,47.1499,"CDP",341
1699,1699,1711,1724,1747,1685,-0.00701,"East","Ritzville","WA","Washington","53001|53043","Adams County",771,"washington/ritzville",2.203,-118.375,47.1231,"City",342
1692,1692,1686,1680,1871,1608,0.00356,"Southwest","Amboy","WA","Washington","53011|53015","Clark County",170,"washington/amboy",9.982,-122.489,45.9159,"CDP",343
1684,1684,1665,1645,1606,1315,0.01141,"Northwest","Sumas","WA","Washington","53073","Whatcom County",1148,"washington/sumas",1.467,-122.268,48.9955,"City",344
1674,1674,1666,1669,1641,1642,0.0048,"West","Cosmopolis","WA","Washington","53027|53049|53045","Grays Harbor County",1203,"washington/cosmopolis",1.392,-123.773,46.9543,"City",345
1663,1663,1656,1655,1635,1587,0.00423,"Northeast","Kettle Falls","WA","Washington","53019|53065","Ferry County",1500,"washington/kettle-falls",1.109,-118.062,48.6056,"City",346
1663,1663,1621,1591,1493,1481,0.02591,"Southwest","Stevenson","WA","Washington","53059","Skamania County",863,"washington/stevenson",1.927,-121.896,45.6947,"City",347
